Time [s],Heating [W],Observed T [K]
652,3.4687,1.2743
656,3.4688,1.2793
660,3.4687,1.285
664,3.4687,1.2901
668,3.4688,1.2952
672,3.4688,1.3002
676,3.4689,1.3047
680,3.4687,1.3097
684,3.4685,1.3148
688,3.4686,1.3192
692,3.4685,1.3243
696,3.4685,1.3287
700,3.4686,1.3338
704,3.4686,1.3382
708,3.4686,1.3433
712,3.4686,1.3471
716,3.4687,1.3522
720,3.4686,1.3566
724,3.4687,1.3611
728,3.4687,1.3655
732,3.4686,1.3699
736,3.4685,1.3737
740,3.4685,1.3782
744,3.4686,1.3832
748,3.4686,1.3867
752,3.4686,1.3915
756,3.4685,1.3953
760,3.4684,1.3997
764,3.4683,1.4029
768,3.4683,1.4073
772,3.4685,1.4117
776,3.4686,
780,3.4686,
784,3.4687,
788,3.4685,
792,3.4685,
796,3.4687,
800,3.4686,
804,3.4686,
808,3.4687,
812,3.4687,
816,3.4686,
820,3.4686,
824,3.4687,
828,3.4686,
832,3.4685,
836,3.4686,
840,3.4688,
844,3.4689,
848,3.4687,
852,3.4687,
856,3.4689,
860,3.469,
864,3.4689,
868,3.4688,
872,3.4689,
876,3.4689,
880,3.469,
884,3.4689,
888,3.4689,
892,3.4689,
896,3.4689,
900,3.4688,
904,3.4688,
908,3.4688,
912,3.4688,
916,3.4689,
920,3.4688,
924,3.4688,
928,3.4689,
932,3.4689,
936,3.4688,
940,3.4688,
944,3.4688,
948,3.4687,
952,3.4688,
956,3.4688,
960,3.4687,
964,3.4688,
968,3.4688,
972,3.4687,
976,3.4686,
980,3.4687,
984,3.4689,
988,3.4687,
992,3.4686,
996,3.4685,
1000,3.4685,
1004,3.4688,
1008,3.4687,
1012,3.4687,
1016,3.4688,
1020,3.4687,
1024,3.4687,
1028,3.4686,
1032,3.4685,
1036,3.4686,
1040,3.4687,
1044,3.4686,
1048,3.4686,1.6201
1052,3.4685,1.6227
1056,3.4684,1.6246
1060,3.4685,1.6271
1064,3.4685,1.6297
1068,3.4686,1.6322
1072,3.4686,1.6341
1076,3.4685,1.6366
1080,3.4684,1.6379
1084,3.4685,1.6404
1088,3.4685,1.6423
1092,3.4685,1.6448
1096,3.4684,1.6467
1100,3.4685,1.6493
1104,3.4683,1.6506
1108,3.4682,1.6525
1112,3.4684,1.655
1116,3.4684,1.6569
1120,3.4686,1.6588
1124,3.4687,1.6607
1128,3.4686,1.6632
1132,3.4686,1.6651
1136,3.4685,1.6664
1140,3.4685,1.6683
1144,3.4684,1.6708
1148,3.4685,1.6727
1152,3.4684,1.6746
1156,3.4684,1.6765
1160,3.4684,1.6784
1164,3.4684,1.6803
1168,3.4685,1.6822
1172,3.4685,1.6835
1176,3.4684,1.6854
1180,3.4684,1.6873
1184,3.4685,1.6892
1188,3.4685,1.6905
1192,3.4684,1.693
1196,3.4685,1.6943
1200,3.4686,1.6955
1204,3.4685,1.6974
1208,3.4685,1.6993
1212,3.4684,1.7006
1216,3.4683,1.7025
1220,3.4683,1.7044
1224,3.4684,1.7063
1228,3.4684,1.7079
1232,3.4685,1.7095
1236,3.4685,1.7114
1240,3.4685,1.7133
1244,3.4685,1.7139
1248,3.4687,1.7152
1252,3.4685,1.7171
1256,3.4686,1.719
1260,3.4686,1.7203
1264,3.4686,1.7221
1268,3.4687,1.7234
1272,3.4686,1.7247
1276,3.4685,1.7266
1280,3.4685,1.7285
1284,3.4686,1.7298
1288,3.4686,1.731
1292,3.4686,1.7329
1296,3.4686,1.7342
1300,3.4687,1.7354
1304,3.4688,1.7373
1308,3.4688,1.7386
1312,3.4688,1.7393
1316,3.4689,1.7412
1320,3.4689,1.743
1324,3.4688,1.7437
1328,3.4689,1.7456
1332,3.4689,1.7469
1336,3.4689,1.7481
1340,3.4689,1.7494
1344,3.4689,1.7513
1348,3.469,1.7519
1352,3.469,1.7535
1356,3.469,1.7551
1360,3.4689,1.7564
1364,3.469,1.7576
1368,3.469,1.7583
1372,3.4689,1.7602
1376,3.4688,1.7614
1380,3.4689,1.7621
1384,3.469,1.7639
1388,3.469,1.7652
1392,3.4688,1.7659
1396,3.4687,1.7678
1400,3.4688,1.7687
1404,3.4687,1.769
1408,3.4687,1.7703
1412,3.4687,1.7716
1416,3.4688,1.7728
1420,3.4688,1.7741
1424,3.4687,1.7747
1428,3.4689,1.7766
1432,3.4689,1.7779
1436,3.4689,1.7792
1440,3.4688,1.7792
1444,3.4688,1.7804
1448,3.4686,1.7817
1452,3.4687,1.783
1456,3.4687,1.7842
1460,3.4688,1.7849
1464,3.4688,1.7855
1468,3.4687,1.7868
1472,3.4688,1.788
1476,3.4688,1.7893
1480,3.4687,1.7906
1484,3.4688,1.7918
1488,3.4688,1.7925
1492,3.4687,1.7937
1496,3.4687,1.7944
1500,3.4688,1.7956
1504,3.4688,1.7969
1508,3.4688,1.7969
1512,3.4687,1.7982
1516,3.4686,1.7994
1520,3.4686,1.8001
1524,3.4688,1.8013
1528,3.4687,1.8023
1532,3.4687,1.8032
1536,3.4687,1.8039
1540,3.4687,1.8051
1544,3.4688,1.8058
1548,3.4688,1.8064
1552,3.4688,1.807
1556,3.4689,1.8083
1560,3.4688,1.8096
1564,3.4686,1.8102
1568,3.4687,1.8108
1572,3.4688,1.8115
1576,3.4688,1.8127
1580,3.4686,1.814
1584,3.4688,1.8146
1588,3.4688,1.8159
1592,3.4688,1.8165
1596,3.4688,1.8172
1600,3.4687,1.8181
1604,3.4687,1.8184
1608,3.4687,1.8197
1612,3.4685,1.8204
1616,3.4686,1.8216
1620,3.4686,1.8222
1624,3.4685,1.8229
1628,3.4686,1.8235
1632,3.4685,1.8241
1636,3.4684,1.8248
1640,3.4684,1.826
1644,3.4684,1.8273
1648,3.4685,1.8279
1652,3.4686,1.8286
1656,3.4685,1.8286
1660,3.4685,1.8305
1664,3.4685,1.8311
1668,3.4686,1.8317
1672,3.4686,1.8324
1676,3.4686,1.833
1680,3.4686,1.8336
1684,3.4685,1.8343
1688,3.4686,1.8349
1692,3.4686,1.8362
1696,3.4686,1.8368
1700,3.4685,1.8375
1704,3.4687,1.8387
1708,3.4686,1.8387
1712,3.4686,1.8394
1716,3.4687,1.8406
1720,3.4686,1.8413
1724,3.4685,1.8419
1728,3.4684,1.8425
1732,3.4685,1.8431
1736,3.4686,1.8431
1740,3.4687,1.845
1744,3.4688,1.845
1748,3.4686,1.8457
1752,3.4688,1.8463
1756,3.4687,1.847
1760,3.4688,1.8476
1764,3.4687,1.8482
1768,3.4687,1.8489
1772,3.4687,1.8495
1776,3.4688,1.8508
1780,3.4687,1.8514
1784,3.4686,1.8514
1788,3.4686,1.8526
1792,3.4687,1.8533
1796,3.4688,1.8539
1800,3.4689,1.8545
1804,3.4688,1.8552
1808,3.4688,1.8552
1812,3.4688,1.8565
1816,3.4688,1.8571
1820,3.4688,1.8571
1824,3.469,1.8577
1828,3.469,1.8584
1832,3.4691,1.859
1836,3.4692,1.859
1840,3.4691,1.8603
1844,3.4691,1.8609
1848,3.4691,1.8615
1852,3.4691,1.8615
1856,3.4692,1.8622
1860,3.4692,1.8628
1864,3.469,1.8641
1868,3.4689,1.8641
1872,3.469,1.8647
1876,3.4691,1.8653
1880,3.469,1.8653
1884,3.4691,1.866
1888,3.469,1.8666
1892,3.469,1.8672
1896,3.469,1.8672
1900,3.469,1.8679
1904,3.4689,1.8679
1908,3.4689,1.8691
1912,3.4688,1.8685
1916,3.4688,1.8691
1920,3.4687,1.8704
1924,3.4687,1.8704
1928,3.4687,1.871
1932,3.4687,1.8717
1936,3.4688,1.8723
1940,3.4688,1.8729
1944,3.4689,1.8729
1948,3.4689,1.8736
1952,3.4688,1.8742
1956,3.4689,1.8742
1960,3.4689,1.8748
1964,3.4688,1.8755
1968,3.4687,1.8761
1972,3.4688,1.8761
1976,3.4687,1.8767
1980,3.4687,1.8767
1984,3.4687,1.8774
1988,3.4687,1.878
1992,3.4686,1.8786
1996,3.4687,1.8786
2000,3.4685,1.8799
2004,3.4687,1.8799
2008,3.4688,1.8799
2012,3.4687,1.8805
2016,3.4687,1.8805
2020,3.4686,1.8818
2024,3.4687,1.8818
2028,3.4686,1.8818
2032,3.4685,1.8824
2036,3.4686,1.8824
2040,3.4688,1.8837
2044,3.4687,1.8843
2048,3.4685,1.8843
2052,3.4686,1.885
2056,3.4685,1.885
2060,3.4686,1.8856
2064,3.4687,1.8862
2068,3.4687,1.8869
2072,3.4686,1.8869
2076,3.4686,1.8869
2080,3.4686,1.8875
2084,3.4688,1.8875
2088,3.4688,1.8881
2092,3.4687,1.8881
2096,3.4686,1.8888
2100,3.4687,1.8888
2104,3.4687,1.8894
2108,3.4687,1.89
2112,3.4685,1.89
2116,3.4684,1.8907
2120,3.4684,1.8907
2124,3.4684,1.8913
2128,3.4685,1.8919
2132,3.4685,1.8919
2136,3.4686,1.8926
2140,3.4686,1.8926
2144,3.4686,1.8926
2148,3.4686,1.8932
2152,3.4687,1.8938
2156,3.4685,1.8945
2160,3.4685,1.8945
2164,3.4685,1.8945
2168,3.4685,1.8951
2172,3.4685,1.8957
2176,3.4685,1.8964
2180,3.4685,1.8964
2184,3.4685,1.8964
2188,3.4685,1.897
2192,3.4685,1.8976
2196,3.4685,1.8976
2200,3.4684,1.8976
2204,3.4683,1.8976
2208,3.4684,1.8989
2212,3.4686,1.8989
2216,3.4686,1.8995
2220,3.4685,1.8995
2224,3.4687,1.9002
2228,3.4687,1.9002
2232,3.4687,1.9002
2236,3.4687,1.9014
2240,3.4688,1.9021
2244,3.4689,1.9014
2248,3.4688,1.9021
2252,3.4687,1.9021
2256,3.4687,1.9033
2260,3.4688,1.903
2264,3.4687,1.9033
2268,3.4689,1.904
2272,3.469,1.904
2276,3.469,1.9033
2280,3.469,1.9046
2284,3.4689,1.9052
2288,3.4688,1.9046
2292,3.4688,1.9052
2296,3.4689,1.9059
2300,3.4688,1.9059
2304,3.4689,1.9059
2308,3.469,1.9065
2312,3.4691,1.9071
2316,3.4691,1.9071
2320,3.4691,1.9071
2324,3.4691,1.9078
2328,3.4691,1.9078
2332,3.4691,1.9078
2336,3.4691,1.909
2340,3.4689,1.9084
2344,3.469,1.9084
2348,3.4689,1.9084
2352,3.469,1.909
2356,3.469,1.909
2360,3.4688,1.909
2364,3.4688,1.9097
2368,3.4689,1.9103
2372,3.4689,1.9103
2376,3.469,1.9103
2380,3.469,1.9103
2384,3.4689,1.911
2388,3.4688,1.911
2392,3.4689,1.911
2396,3.469,1.9116
2400,3.4691,1.9116
2404,3.469,1.9116
2408,3.4689,1.9122
2412,3.4689,1.9122
2416,3.469,1.9122
2420,3.469,1.9122
2424,3.4691,1.9128
2428,3.469,1.9135
2432,3.469,1.9128
2436,3.469,1.9135
2440,3.4689,1.9135
2444,3.4687,1.9135
2448,3.4688,1.9141
2452,3.4689,1.9141
2456,3.4688,1.9141
2460,3.4687,1.9147
2464,3.4687,1.9147
2468,3.4687,1.9147
2472,3.4688,1.9147
2476,3.4689,1.9154
2480,3.4688,1.9154
2484,3.4689,1.916
2488,3.4689,1.916
2492,3.4688,1.9166
2496,3.4689,1.916
2500,3.4689,1.9166
2504,3.4687,1.9166
2508,3.4686,1.9166
2512,3.4686,1.9173
2516,3.4687,1.9173
2520,3.4687,1.9173
2524,3.4686,1.9179
2528,3.4685,1.9179
2532,3.4685,1.9179
2536,3.4685,1.9179
2540,3.4685,1.9185
2544,3.4685,1.9192
2548,3.4684,1.9192
2552,3.4686,1.9192
2556,3.4686,1.9192
2560,3.4686,1.9192
2564,3.4687,1.9198
2568,3.4687,1.9198
2572,3.4688,1.9198
2576,3.4687,1.9198
2580,3.4687,1.9205
2584,3.4688,1.9205
2588,3.4687,1.9205
2592,3.4686,1.9211
2596,3.4686,1.9211
2600,3.4686,1.9211
2604,3.4686,1.9217
2608,3.4687,1.9211
2612,3.4686,1.9217
2616,3.4685,1.9223
2620,3.4686,1.9223
2624,3.4685,1.9223
2628,3.4686,1.923
2632,3.4686,1.9223
2636,3.4685,1.9233
2640,3.4684,1.9236
2644,3.4684,1.923
2648,3.4683,1.923
2652,3.4683,1.9236
2656,3.4684,1.9236
2660,3.4684,1.9236
2664,3.4683,1.9242
2668,3.4685,1.9236
2672,3.4685,1.9242
2676,3.4686,1.9242
2680,3.4687,1.9249
2684,3.4687,1.9249
2688,3.4686,1.9249
2692,3.4686,1.9249
2696,3.4686,1.9255
2700,3.4688,1.9255
2704,3.4688,1.9255
2708,3.4686,1.9261
2712,3.4687,1.9261
2716,3.4688,1.9255
2720,3.4689,1.9261
2724,3.4688,1.9268
2728,3.4687,1.9268
2732,3.4687,1.9274
2736,3.4686,1.9268
2740,3.4688,1.9268
2744,3.4688,1.9274
2748,3.4688,1.9274
2752,3.4688,1.9274
2756,3.4687,1.9274
2760,3.4688,1.9274
2764,3.4689,1.9274
2768,3.4691,1.928
2772,3.4691,1.928
2776,3.4691,1.9287
2780,3.4691,1.9287
2784,3.4691,1.9287
2788,3.4691,1.9287
2792,3.4691,1.9287
2796,3.4691,1.9287
2800,3.4691,1.9287
2804,3.469,1.9287
2808,3.469,1.9293
2812,3.469,1.9293
2816,3.469,1.9293
2820,3.4688,1.9293
2824,3.4689,1.9293
2828,3.469,1.93
2832,3.4688,1.93
2836,3.4688,1.93
2840,3.4689,1.93
2844,3.469,1.93
2848,3.4688,1.93
2852,3.4687,1.9306
2856,3.4687,1.9306
2860,3.4688,1.9306
2864,3.4689,1.93
2868,3.4689,1.9306
2872,3.469,1.9306
2876,3.4689,1.9306
2880,3.4688,1.9306
2884,3.4689,1.9306
2888,3.4689,1.9312
2892,3.4687,1.9312
2896,3.4689,1.9312
2900,3.4689,1.9312
2904,3.4688,1.9312
2908,3.4686,1.9315
2912,3.4687,1.9319
2916,3.4688,1.9319
2920,3.4689,1.9325
2924,3.4689,1.9325
2928,3.4686,1.9319
2932,3.4687,1.9319
2936,3.4686,1.9319
2940,3.4686,1.9319
2944,3.4687,1.9325
2948,3.4689,1.9325
2952,3.4688,1.9325
2956,3.4688,1.9325
2960,3.4687,1.9325
2964,3.4687,1.9325
2968,3.4686,1.9331
2972,3.4685,1.9331
2976,3.4686,1.9334
2980,3.4688,1.9331
2984,3.4688,1.9325
2988,3.4688,1.9334
2992,3.4688,1.9331
2996,3.4687,1.9337
3000,3.4686,1.9337
3004,3.4687,1.9337
3008,3.4687,1.9337
3012,3.4687,1.9337
3016,3.4687,1.9337
3020,3.4686,1.9344
3024,3.4685,1.9344
3028,3.4686,1.9337
3032,3.4686,1.9344
3036,3.4686,1.9344
3040,3.4687,1.9344
3044,3.4687,1.935
3048,3.4686,1.9344
3052,3.4686,1.9344
3056,3.4687,1.9344
3060,3.4687,1.935
3064,3.4687,1.935
3068,3.4687,1.935
3072,3.4686,1.935
3076,3.4685,1.9344
3080,3.4685,1.9356
3084,3.4686,1.9356
3088,3.4685,1.935
3092,3.4686,1.935
3096,3.4685,1.9356
3100,3.4685,1.9356
3104,3.4686,1.9356
3108,3.4686,1.9363
3112,3.4686,1.9363
3116,3.4687,1.9356
3120,3.4685,1.9363
3124,3.4686,1.9363
3128,3.4687,1.9363
3132,3.4687,1.9363
3136,3.4686,1.9363
3140,3.4687,1.9363
3144,3.4687,1.9363
3148,3.4689,1.9363
3152,3.4689,1.9363
3156,3.4687,1.9369
3160,3.4686,1.9369
3164,3.4687,1.9369
3168,3.4688,1.9363
3172,3.4687,1.9369
3176,3.4687,1.9369
3180,3.4687,1.9369
3184,3.4688,1.9376
3188,3.4687,1.9376
3192,3.4686,1.9376
3196,3.4686,1.9376
3200,3.4686,1.9382
3204,3.4687,1.9382
3208,3.4687,1.9382
3212,3.4689,1.9376
3216,3.4689,1.9376
3220,3.4689,1.9376
3224,3.469,1.9379
3228,3.4691,1.9388
3232,3.4691,1.9382
3236,3.469,1.9382
3240,3.469,1.9382
3244,3.4688,1.9382
3248,3.4688,1.9388
3252,3.4689,1.9388
3256,3.469,1.9382
3260,3.4691,1.9388
3264,3.469,1.9395
3268,3.469,1.9395
3272,3.469,1.9388
3276,3.4689,1.9395
3280,3.4688,1.9395
3284,3.4689,1.9395
3288,3.4689,1.9388
3292,3.4689,1.9395
3296,3.469,1.9395
3300,3.4689,1.9395
3304,3.4689,1.9395
3308,3.4689,1.9395
3312,3.4688,1.9395
3316,3.4688,1.9395
3320,3.4689,1.9395
3324,3.469,1.9395
3328,3.4689,1.9395
3332,3.4688,1.9401
3336,3.4689,1.9395
3340,3.4688,1.9398
3344,3.4689,1.9401
3348,3.4688,1.9395
3352,3.4688,1.9401
3356,3.4688,1.9401
3360,3.4688,1.9395
3364,3.4689,1.9401
3368,3.469,1.9401
3372,3.4689,1.9401
3376,3.4688,1.9401
3380,3.4688,1.9401
3384,3.4687,1.9407
3388,3.4685,1.9401
3392,3.4685,1.9401
3396,3.4685,1.9401
3400,3.4685,1.9401
3404,3.4685,1.9407
3408,3.4685,1.9401
3412,3.4686,1.9401
3416,3.4688,1.9401
3420,3.4688,1.9401
3424,3.4687,1.9401
3428,3.4689,1.9401
3432,3.4689,1.9401
3436,3.4688,1.9401
3440,3.4688,1.9401
3444,3.4687,1.9401
3448,3.4687,1.9407
3452,3.4688,1.9407
3456,3.4688,1.9407
3460,3.4688,1.9401
3464,3.4688,1.9401
3468,3.4687,1.9401
3472,3.4687,1.9401
3476,3.4687,1.9401
3480,3.4686,1.9407
3484,3.4685,1.9407
3488,3.4685,1.9407
3492,3.4685,1.9407
3496,3.4684,1.9407
3500,3.4685,1.9414
3504,3.4685,1.9407
3508,3.4685,1.9407
3512,3.4685,1.9407
3516,3.4684,1.9407
3520,3.4686,1.9414
3524,3.4687,1.9414
3528,3.4688,1.9407
3532,3.4686,1.9407
3536,3.4685,1.9414
3540,3.4685,1.9414
3544,3.4686,1.9414
3548,3.4686,1.9414
3552,3.4686,1.9414
3556,3.4686,1.9414
3560,3.4686,1.9414
3564,3.4686,1.9414
3568,3.4687,1.9414
3572,3.4688,1.9414
3576,3.4686,1.9417
3580,3.4686,1.9414
3584,3.4686,1.9414
3588,3.4686,1.942
3592,3.4686,1.9414
3596,3.4686,1.9414
3600,3.4687,1.942
3604,3.4685,1.9426
3608,3.4684,1.942
3612,3.4685,1.942
3616,3.4684,1.9426
3620,3.4684,1.942
3624,3.4684,1.942
3628,3.4683,1.942
3632,3.4683,1.9426
3636,3.4684,1.9426
3640,3.4685,1.9426
3644,3.4686,1.9426
3648,3.4687,1.9426
3652,3.4685,1.9426
3656,3.4686,1.9426
3660,3.4686,1.9426
3664,3.4686,1.9426
3668,3.4685,1.9426
3672,3.4685,1.9426
3676,3.4685,1.9432
3680,3.4685,1.9426
3684,3.4686,1.9426
3688,3.4685,1.9426
3692,3.4687,1.9426
3696,3.4687,1.9432
3700,3.4688,1.9432
3704,3.4688,1.9432
3708,3.4687,1.9432
3712,3.4687,1.9432
3716,3.4688,1.9432
3720,3.4688,1.9432
3724,3.4687,1.9439
3728,3.4687,1.9432
3732,3.4687,1.9439
3736,3.4687,1.9432
3740,3.4688,1.9439
3744,3.4689,1.9432
3748,3.4687,1.9439
3752,3.4687,1.9432
3756,3.4687,1.9439
3760,3.4689,1.9436
3764,3.469,1.9439
3768,3.4688,1.9439
3772,3.4689,1.9439
3776,3.4689,1.9445
3780,3.4689,1.9445
3784,3.4689,1.9439
3788,3.469,1.9439
3792,3.469,1.9439
3796,3.4689,1.9442
3800,3.4689,1.9445
3804,3.469,1.9439
3808,3.4689,1.9445
3812,3.4688,1.9439
3816,3.4689,1.9445
3820,3.4689,1.9439
3824,3.4688,1.9439
3828,3.4689,1.9439
3832,3.4688,1.9439
3836,3.4688,1.9445
3840,3.469,1.9445
3844,3.469,1.9445
3848,3.4689,1.9445
3852,3.4689,1.9439
3856,3.4688,1.9439
3860,3.4689,1.9439
3864,3.4688,1.9445
3868,3.4687,1.9445
3872,3.4687,1.9439
3876,3.4687,1.9445
3880,3.4687,1.9439
3884,3.4689,1.9445
3888,3.469,1.9445
3892,3.469,1.9439
3896,3.4688,1.9439
3900,3.4689,1.9439
3904,3.4688,1.9439
3908,3.4688,1.9439
3912,3.4688,1.9445
3916,3.4687,1.9445
3920,3.4688,1.9439
3924,3.4689,1.9445
3928,3.4689,1.9439
3932,3.4688,1.9439
3936,3.469,1.9445
3940,3.4689,1.9439
3944,3.4689,1.9445
3948,3.4688,1.9439
3952,3.4688,1.9439
3956,3.4688,1.9439
3960,3.4687,1.9439
3964,3.4687,1.9439
3968,3.4687,1.9445
3972,3.4686,1.9445
3976,3.4686,1.9445
3980,3.4685,1.9445
3984,3.4685,1.9445
3988,3.4686,1.9439
3992,3.4688,1.9439
3996,3.4688,1.9445
4000,3.4687,1.9445
4004,3.4686,1.9451
4008,3.4687,1.9445
4012,3.4687,1.9445
4016,3.4686,1.9445
4020,3.4687,1.9445
4024,3.4688,1.9445
4028,3.4687,1.9445
4032,3.4687,1.9445
4036,3.4688,1.9445
4040,3.4687,1.9445
4044,3.4687,1.9445
4048,3.4686,1.9445
4052,3.4685,1.9442
4056,3.4686,1.9439
4060,3.4687,1.9445
4064,3.4687,1.9445
4068,3.4686,1.9445
4072,3.4686,1.9445
4076,3.4686,1.9451
4080,3.4685,1.9451
4084,3.4684,1.9445
4088,3.4684,1.9445
4092,3.4686,1.9451
4096,3.4686,1.9445
4100,3.4687,1.9451
4104,3.4687,1.9445
4108,3.4686,1.9445
4112,3.4685,1.9445
4116,3.4686,1.9445
4120,3.4685,1.9451
4124,3.4686,1.9445
4128,3.4687,1.9451
4132,3.4687,1.9451
4136,3.4686,1.9445
4140,3.4687,1.9451
4144,3.4686,1.9448
4148,3.4685,1.9445
4152,3.4685,1.9445
4156,3.4685,1.9451
4160,3.4684,1.9451
4164,3.4684,1.9451
4168,3.4684,1.9451
4172,3.4684,1.9445
4176,3.4685,1.9451
4180,3.4684,1.9451
4184,3.4684,1.9451
4188,3.4686,1.9448
4192,3.4686,1.9451
4196,3.4685,1.9445
4200,3.4687,1.9451
4204,3.4686,1.9451
4208,3.4685,1.9458
4212,3.4687,1.9445
4216,3.4687,1.9451
4220,3.4686,1.9458
4224,3.4687,1.9451
4228,3.4687,1.9451
4232,3.4688,1.9458
4236,3.4687,1.9451
4240,3.4687,1.9451
4244,3.4688,1.9458
4248,3.4688,1.9458
4252,3.4687,1.9451
4256,3.4687,1.9458
4260,3.4689,1.9458
4264,3.469,1.9458
4268,3.469,1.9458
4272,3.4689,1.9458
4276,3.4689,1.9458
4280,3.4688,1.9458
4284,3.469,1.9451
4288,3.469,1.9464
4292,3.469,1.9451
4296,3.469,1.9458
4300,3.4691,1.9458
4304,3.4691,1.9464
4308,3.4691,1.9458
4312,3.469,1.9458
4316,3.4689,1.9458
4320,3.4689,1.9458
4324,3.4689,1.9464
4328,3.469,1.9458
4332,3.469,1.9458
4336,3.469,1.9458
4340,3.469,1.9458
4344,3.4689,1.9458
4348,3.4688,1.9458
4352,3.4688,1.9464
4356,3.4688,1.9458
4360,3.469,1.9458
4364,3.469,1.9451
4368,3.4691,1.9458
4372,3.4691,1.9458
4376,3.4691,1.9451
4380,3.469,1.9458
4384,3.4688,1.9455
4388,3.4688,1.9458
4392,3.4689,1.9458
4396,3.4689,1.9458
4400,3.4687,1.9451
4404,3.4688,1.9451
4408,3.4689,1.9451
4412,3.4689,1.9451
4416,3.4687,1.9458
4420,3.4687,1.9451
4424,3.4688,1.9458
4428,3.4689,1.9451
4432,3.469,1.9451
4436,3.4688,1.9451
4440,3.4689,1.9451
4444,3.4688,1.9451
4448,3.4688,1.9458
4452,3.4688,1.9458
4456,3.4687,1.9458
4460,3.4687,1.9451
4464,3.4687,1.9451
4468,3.4688,1.9451
4472,3.4688,1.9451
4476,3.4688,1.9458
4480,3.4687,1.9458
4484,3.4686,1.9458
4488,3.4686,1.9458
4492,3.4687,1.9451
4496,3.4686,1.9458
4500,3.4687,1.9451
4504,3.4686,1.9455
4508,3.4685,1.9458
4512,3.4685,1.9451
4516,3.4687,1.9451
4520,3.4687,1.9458
4524,3.4687,1.9451
4528,3.4687,1.9451
4532,3.4686,1.9451
