Time [s],Heating [W],Observed T [K]
0,NaN,0
4,0.0058,0
8,3.4455,0
12,3.4569,0
16,3.4617,-0.00062529
20,3.4645,0
24,3.4662,0
28,3.4673,-0.00062529
32,3.4678,0
36,3.4682,0
40,3.4685,0
44,3.4686,0
48,3.4687,0
52,3.4688,0.00064483
56,3.469,0.0012701
60,3.469,0.0031655
64,3.469,0.0044356
68,3.4691,0.0069759
72,3.4691,0.0095161
76,3.4691,0.012682
80,3.469,0.015847
84,3.4691,0.019638
88,3.469,0.024699
92,3.4689,0.029779
96,3.4689,0.035466
100,3.469,0.041797
104,3.4689,0.048773
108,3.4688,0.055729
112,3.4688,0.062705
116,3.4687,0.070932
120,3.4689,0.079158
124,3.469,0.087385
128,3.4689,0.096882
132,3.4689,0.10575
136,3.4689,0.11525
140,3.4687,0.12539
144,3.4687,0.13551
148,3.4688,0.14628
152,3.4687,0.15642
156,3.4686,0.16717
160,3.4689,0.17794
164,3.4688,0.18871
168,3.4687,0.20012
172,3.4687,0.21151
176,3.4686,0.22228
180,3.4686,0.2343
184,3.4685,0.24571
188,3.4685,0.25773
192,3.4685,0.26914
196,3.4685,0.28116
200,3.4685,0.29319
204,3.4685,0.30523
208,3.4684,0.31662
212,3.4685,0.32866
216,3.4687,0.3407
220,3.4686,0.35209
224,3.4685,0.36476
228,3.4685,0.3768
232,3.4685,0.38881
236,3.4685,0.40085
240,3.4685,0.41225
244,3.4686,0.42428
248,3.4684,0.43632
252,3.4686,0.44772
256,3.4685,0.45975
260,3.4685,0.47115
264,3.4685,0.48319
268,3.4686,0.49521
272,3.4686,0.50662
276,3.4687,0.51739
280,3.4687,0.52878
284,3.4686,0.54017
288,3.4687,0.55159
292,3.4687,0.56298
296,3.4686,0.57375
300,3.4687,0.58514
304,3.4688,0.59591
308,3.4689,0.60731
312,3.4689,0.61745
316,3.469,0.62884
320,3.4688,0.63961
324,3.4689,0.64974
328,3.4689,0.6605
332,3.4688,0.67127
336,3.4688,0.68204
340,3.4687,0.69219
344,3.4688,0.70293
348,3.4687,0.71181
352,3.4688,0.7232
356,3.4689,0.73335
360,3.4687,0.74284
364,3.4687,0.75297
368,3.4688,0.76311
372,3.4688,0.77261
376,3.4689,0.78148
380,3.4689,0.79225
384,3.4689,0.80111
388,3.469,0.81061
392,3.4689,0.81948
396,3.469,0.8296
400,3.4691,0.83721
404,3.4691,0.84608
408,3.469,0.85558
412,3.469,0.86445
416,3.4691,
420,3.4691,
424,3.469,
428,3.4689,
432,3.469,
436,3.469,
440,3.469,
444,3.4689,
448,3.469,0.94109
452,3.469,0.94869
456,3.4689,0.9563
460,3.4689,0.96453
464,3.4689,0.97275
468,3.469,0.98098
472,3.4689,0.98859
476,3.4688,0.99619
480,3.4687,1.0038
484,3.4688,1.0108
488,3.469,1.0184
492,3.4689,1.026
496,3.4689,1.0336
500,3.4688,1.0412
504,3.4688,1.0481
508,3.469,1.0557
512,3.469,1.0621
516,3.4689,1.0697
520,3.4689,1.076
524,3.469,1.083
528,3.4688,1.0906
532,3.4687,1.0969
536,3.4687,1.1039
540,3.4688,
544,3.4689,
548,3.4689,
552,3.4688,
556,3.4687,
560,3.4686,
564,3.4686,
568,3.4685,
572,3.4686,
576,3.4687,
580,3.4688,1.1736
584,3.4688,1.1799
588,3.4687,1.1856
592,3.4687,1.1919
596,3.4687,1.1976
600,3.4687,1.204
604,3.4687,1.209
608,3.4688,1.2147
612,3.4687,1.2211
616,3.4686,1.2268
620,3.4686,1.2318
624,3.4686,1.2375
628,3.4687,1.2426
632,3.4687,1.2483
636,3.4688,1.2534
640,3.4688,1.2597
644,3.4687,1.2641
648,3.4686,1.2698
