Time [s],Heating [W],Observed T [K]
1004,3.4688,0.00064576
1008,3.4687,0
1012,3.4687,-0.00062619
1016,3.4688,0
1020,3.4687,0
1024,3.4687,0
1028,3.4686,0
1032,3.4685,0.00064576
1036,3.4686,0
1040,3.4687,0
1044,3.4686,-0.0003131
1048,3.4686,-0.00062619
1052,3.4685,0
1056,3.4684,0
1060,3.4685,0
1064,3.4685,0.00064576
1068,3.4686,0
1072,3.4686,-0.00062619
1076,3.4685,0
1080,3.4684,-0.00062619
1084,3.4685,0
1088,3.4685,0
1092,3.4685,-0.0003131
1096,3.4684,-0.00062619
1100,3.4685,0
1104,3.4683,-0.00062619
1108,3.4682,0
1112,3.4684,0
1116,3.4684,0.00064576
1120,3.4686,0
1124,3.4687,0.00064576
1128,3.4686,0
1132,3.4686,0
1136,3.4685,0
1140,3.4685,0
1144,3.4684,0
1148,3.4685,0
1152,3.4684,-0.00062619
1156,3.4684,0
1160,3.4684,-0.0003131
1164,3.4684,0
1168,3.4685,0
1172,3.4685,-0.00062619
1176,3.4684,0
1180,3.4684,0
1184,3.4685,0
1188,3.4685,-0.00062619
1192,3.4684,-0.00062619
1196,3.4685,-0.00062619
1200,3.4686,0
1204,3.4685,0
1208,3.4685,0
1212,3.4684,0
1216,3.4683,0
1220,3.4683,0
1224,3.4684,0
1228,3.4684,-0.00062619
1232,3.4685,-0.00062619
1236,3.4685,-0.00062619
1240,3.4685,0
1244,3.4685,0
1248,3.4687,0
1252,3.4685,-0.00062619
1256,3.4686,0
1260,3.4686,0
1264,3.4686,0
1268,3.4687,0
1272,3.4686,0.00064576
1276,3.4685,0
1280,3.4685,-0.00062619
1284,3.4686,-0.00062619
1288,3.4686,0.0003131
1292,3.4686,0
1296,3.4686,0
1300,3.4687,0.00064576
1304,3.4688,0
1308,3.4688,0
1312,3.4688,0.00064576
1316,3.4689,0
1320,3.4689,-0.00062619
1324,3.4688,0
1328,3.4689,0
1332,3.4689,0
1336,3.4689,0
1340,3.4689,0.00064576
1344,3.4689,0
1348,3.469,0
1352,3.469,-0.00062619
1356,3.469,0
1360,3.4689,0
1364,3.469,0
1368,3.469,0
1372,3.4689,0.00064576
1376,3.4688,0.00064576
1380,3.4689,0
1384,3.469,0.00064576
1388,3.469,0
1392,3.4688,0.00064576
1396,3.4687,0
1400,3.4688,0.00064576
1404,3.4687,0.00064576
1408,3.4687,0.0012719
1412,3.4687,0.0012719
1416,3.4688,0.00064576
1420,3.4688,0.00064576
1424,3.4687,0.0012719
1428,3.4689,0.0012719
1432,3.4689,0.0012719
1436,3.4689,0.0012719
1440,3.4688,0.0012719
1444,3.4688,0.0012719
1448,3.4686,0.0012719
1452,3.4687,0.0018981
1456,3.4687,0.0018981
1460,3.4688,0.0012719
1464,3.4688,0.0012719
1468,3.4687,0.0018981
1472,3.4688,0.0018981
1476,3.4688,0.0018981
1480,3.4687,0.0018981
1484,3.4688,0.0022308
1488,3.4688,0.0025439
1492,3.4687,0.0018981
1496,3.4687,0.0025439
1500,3.4688,0.0018981
1504,3.4688,0.0025439
1508,3.4688,0.0025439
1512,3.4687,0.0025439
1516,3.4686,0.0031701
1520,3.4686,0.0025439
1524,3.4688,0.0025439
1528,3.4687,0.0031701
1532,3.4687,0.0031701
1536,3.4687,0.0031701
1540,3.4687,0.0025439
1544,3.4688,0.0031701
1548,3.4688,0.0038159
1552,3.4688,0.0038159
1556,3.4689,0.0038159
1560,3.4688,0.0038159
1564,3.4686,0.0038159
1568,3.4687,0.0038159
1572,3.4688,0.004442
1576,3.4688,0.0038159
1580,3.4686,0.0038159
1584,3.4688,0.004442
1588,3.4688,0.004442
1592,3.4688,0.0038159
1596,3.4688,0.0050878
1600,3.4687,0.004442
1604,3.4687,0.0050878
1608,3.4687,0.0050878
1612,3.4685,0.0050878
1616,3.4686,0.004442
1620,3.4686,0.0050878
1624,3.4685,0.0050878
1628,3.4686,0.0050878
1632,3.4685,0.0063402
1636,3.4684,0.0063402
1640,3.4684,0.005714
1644,3.4684,0.0063402
1648,3.4685,0.0063402
1652,3.4686,0.0063402
1656,3.4685,0.0063402
1660,3.4685,0.0069859
1664,3.4685,0.0063402
1668,3.4686,0.0069859
1672,3.4686,0.0076121
1676,3.4686,0.0069859
1680,3.4686,0.0069859
1684,3.4685,0.0076121
1688,3.4686,0.0076121
1692,3.4686,0.0076121
1696,3.4686,0.0082579
1700,3.4685,0.0082579
1704,3.4687,0.0088841
1708,3.4686,0.0088841
1712,3.4686,0.0095103
1716,3.4687,0.0088841
1720,3.4686,0.0088841
1724,3.4685,0.0095103
1728,3.4684,0.0095103
1732,3.4685,0.0095103
1736,3.4686,0.010156
1740,3.4687,0.010156
1744,3.4688,0.010156
1748,3.4686,0.010782
1752,3.4688,0.010782
1756,3.4687,0.010782
1760,3.4688,0.010782
1764,3.4687,0.011428
1768,3.4687,0.011428
1772,3.4687,0.012054
1776,3.4688,0.012054
1780,3.4687,0.012054
1784,3.4686,0.012054
1788,3.4686,0.012054
1792,3.4687,0.012054
1796,3.4688,0.01268
1800,3.4689,0.013326
1804,3.4688,0.013326
1808,3.4688,0.013326
1812,3.4688,0.013952
1816,3.4688,0.013952
1820,3.4688,0.013952
1824,3.469,0.014598
1828,3.469,0.014598
1832,3.4691,0.014598
1836,3.4692,0.015224
1840,3.4691,0.015224
1844,3.4691,0.01585
1848,3.4691,0.015224
1852,3.4691,0.01585
1856,3.4692,0.016496
1860,3.4692,0.017122
1864,3.469,0.01585
1868,3.4689,0.016496
1872,3.469,0.017122
1876,3.4691,0.017768
1880,3.469,0.017768
1884,3.4691,0.018394
1888,3.469,0.018394
1892,3.469,0.017768
1896,3.469,0.018394
