,Name,Durchmesser,Umfang,Oberflaeche
0,Merkur,4879.4,15329.087193926036,74796748.05404268
1,Venus,12103.6,38024.580841989424,460234316.6791032
2,Erde,12756.3,40075.09836698748,511209977.29880226
3,Mars,6792.4,21338.95394024331,144942710.74370867
4,Jupiter,142984.0,449197.483980883,64228053049.522575
5,Saturn,120536.0,378675.0120930993,45643971257.65382
6,Uranus,51118.0,160591.93326620304,8209138444.701767
