Messstellennummer,Stationsname,Gewaesser,Parameter,Datum/Uhrzeit,Wert,Einheit,Produkt
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 11:00,5.193,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 12:00,5.126,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 13:00,5.149,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 14:00,5.131,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 15:00,5.117,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 16:00,5.108,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 17:00,5.099,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 18:00,5.068,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 19:00,5.023,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 20:00,4.998,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 21:00,5.054,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 22:00,5.063,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,03.01.2021 23:00,4.989,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 00:00,4.913,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 01:00,4.888,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 02:00,4.844,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 03:00,4.806,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 04:00,4.8,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 05:00,4.756,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 06:00,4.743,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 07:00,4.698,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 08:00,4.575,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 09:00,4.575,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 10:00,4.614,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 11:00,4.633,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 12:00,4.62,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 13:00,4.614,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 14:00,4.512,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 15:00,4.665,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 16:00,4.555,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 17:00,4.555,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 18:00,4.516,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 19:00,4.497,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 20:00,4.594,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 21:00,4.614,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 22:00,4.614,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,04.01.2021 23:00,4.536,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 00:00,4.446,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 01:00,4.44,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 02:00,4.421,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 03:00,4.415,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 04:00,4.396,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 05:00,4.353,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 06:00,4.291,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 07:00,4.192,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 08:00,4.15,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 09:00,4.192,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 10:00,4.222,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 11:00,4.253,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 12:00,4.24,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 13:00,4.204,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 14:00,4.198,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 15:00,4.168,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 16:00,4.174,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 17:00,4.156,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 18:00,4.132,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 19:00,4.156,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 20:00,4.211,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 21:00,4.204,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 22:00,4.18,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,05.01.2021 23:00,4.096,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 00:00,4.054,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 01:00,3.978,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 02:00,3.991,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 03:00,3.978,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 04:00,3.964,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 05:00,3.937,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 06:00,3.951,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 07:00,3.883,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 08:00,3.852,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 09:00,3.865,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 10:00,3.96,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 11:00,3.969,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 12:00,3.951,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 13:00,3.942,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 14:00,3.964,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 15:00,3.96,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 16:00,3.946,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 17:00,3.915,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 18:00,3.897,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 19:00,3.865,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 20:00,3.856,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 21:00,3.838,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 22:00,3.825,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,06.01.2021 23:00,3.807,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 00:00,3.773,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 01:00,3.761,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 02:00,3.773,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 03:00,3.752,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 04:00,3.727,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 05:00,3.722,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 06:00,3.705,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 07:00,3.701,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 08:00,3.676,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 09:00,3.655,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 10:00,3.663,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 11:00,3.61,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 12:00,3.663,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 13:00,3.659,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 14:00,3.646,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 15:00,3.638,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 16:00,3.619,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 17:00,3.622,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 18:00,3.63,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 19:00,3.61,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 20:00,3.582,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 21:00,3.57,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 22:00,3.566,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,07.01.2021 23:00,3.558,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 00:00,3.542,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 01:00,3.514,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 02:00,3.498,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 03:00,3.474,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 04:00,3.462,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 05:00,3.446,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 06:00,3.43,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 07:00,3.422,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 08:00,3.406,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 09:00,3.422,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 10:00,3.418,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 11:00,3.402,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 12:00,3.398,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 13:00,3.39,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 14:00,3.382,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 15:00,3.374,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 16:00,3.386,m3/s,Stundenmittelwert
