0150/307-6;GWM PP 11, Kirrlach;49.223825;8.601152
0763/258-5;GWM RVE Reststoffverwertung GmbH, Hochstetten;49.143176;8.41301
0180/210-9;GWM Schule, Forchheim;48.975151;8.312181
0176/258-6;GWM Sporthalle, Hochstetten;49.13671;8.409923
0139/307-6;GWM S7 TS Testsee, Langenbrücken;49.205503;8.636857
0161/308-8;GWM T B10a/b Volksschule, Neuthard;49.124113;8.523403
0222/258-7;GWM T B13a/b, Graben-Neudorf;49.149047;8.456928
0132/257-4;GWM T B40, Rheinsheim;49.227207;8.404031
0135/257-8;GWM T B42, Philippsburg;49.200995;8.452848
0157/308-0;GWM T B45 a-b, Forst;49.155145;8.570337
0130/257-5;GWM T Tierpark B33, Rheinhausen;49.26105;8.476747
0159/307-7;GWM T, Waghäusel;49.247406;8.52025
0254/258-8;GWM T 661 KIT Campus Nord, Leopoldshafen;49.09168;8.433294
2000/259-9;GWM VF-MST Waldstadt, Karlsruhe;49.027001;8.437826
0154/257-8;GWM Weick Maschinenbau, Huttenheim;49.19707;8.454788
0125/257-2;GWM 1 Flach Tierpark, Rheinhausen;49.26105;8.476747
0071/257-5;GWM 117 KKW, Philippsburg;49.253154;8.438324
2166/257-1;GWM 12 flach 6419 Goodyear, Philippsburg;49.223852;8.459555
0188/258-0;GWM 13/75 Mittel, Liedolsheim;49.16718;8.377784
0120/209-4;GWM 16, KA-Knielingen;49.064867;8.325234
0082/259-9;GWM 17 Stuttgarter Straße Stadtwerke, Karlsruhe;48.999198;8.417327
0981/307-5;GWM 2, Sankt Leon;49.258217;8.585036
0126/257-7;GWM 2 Tierpark 8/79, Rheinhausen;49.261892;8.47799
0260/259-1;GWM 20/4 F 1976 BWV, Blankenloch;49.071912;8.478014
2150/260-7;GWM 21 neu WW Durlacher Wald, KA;48.992208;8.414877
0155/259-2;GWM 3038 Blankenloch;49.040199;8.454946
0215/210-0;GWM 315 NBA flach, Illingen;48.931553;8.200187
0171/259-5;GWM 3296 Nr.44 STW-KA, KA-Waldstadt;49.04582;8.432259
0110/210-0;GWM 3436 3, Au am Rhein;48.953668;8.260099
0113/210-4;GWM 3536, Au am Rhein;48.950111;8.220017
