GW-Nummer;Messstelle;Datum;W [m ¸. NN]
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;25.02.2019 12:00;101.5
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;04.03.2019 12:00;101.49
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;11.03.2019 12:00;101.49
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;18.03.2019 12:00;101.51
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;25.03.2019 12:00;101.53
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;01.04.2019 12:00;101.52
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;08.04.2019 12:00;101.52
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;15.04.2019 12:00;101.51
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;22.04.2019 12:00;101.5
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;29.04.2019 12:00;101.5
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;06.05.2019 12:00;101.5
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;13.05.2019 12:00;101.49
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;20.05.2019 12:00;101.48
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;27.05.2019 12:00;101.54
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;03.06.2019 12:00;101.53
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;10.06.2019 12:00;101.51
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;17.06.2019 12:00;101.54
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;24.06.2019 12:00;101.52
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;01.07.2019 12:00;101.49
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;08.07.2019 12:00;101.47
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;15.07.2019 12:00;101.47
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;22.07.2019 12:00;101.46
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;29.07.2019 12:00;101.44
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;05.08.2019 12:00;101.43
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;12.08.2019 12:00;101.42
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;19.08.2019 12:00;101.41
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;26.08.2019 12:00;101.4
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;02.09.2019 12:00;101.38
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;09.09.2019 12:00;101.38
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;16.09.2019 12:00;101.37
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;23.09.2019 12:00;101.35
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;30.09.2019 12:00;101.37
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;07.10.2019 12:00;101.38
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;14.10.2019 12:00;101.41
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;21.10.2019 12:00;101.42
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;28.10.2019 12:00;101.42
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;04.11.2019 12:00;101.41
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;11.11.2019 12:00;101.44
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;18.11.2019 12:00;101.44
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;25.11.2019 12:00;101.44
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;02.12.2019 12:00;101.44
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;09.12.2019 12:00;101.44
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;16.12.2019 12:00;101.45
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;23.12.2019 12:00;101.44
0141/307-5;GWM Heiden im Waldrand, Wagh‰usel Kirrlach;30.12.2019 12:00;101.45
0707/307-1;GWM M Geissheck, Walldorf;07.01.2019 12:00;99.89
0707/307-1;GWM M Geissheck, Walldorf;14.01.2019 12:00;99.92
0707/307-1;GWM M Geissheck, Walldorf;21.01.2019 12:00;99.9
0707/307-1;GWM M Geissheck, Walldorf;28.01.2019 12:00;99.88
0707/307-1;GWM M Geissheck, Walldorf;04.02.2019 12:00;99.87
0707/307-1;GWM M Geissheck, Walldorf;11.02.2019 12:00;100.01
0707/307-1;GWM M Geissheck, Walldorf;18.02.2019 12:00;99.85
0707/307-1;GWM M Geissheck, Walldorf;25.02.2019 12:00;99.87
0707/307-1;GWM M Geissheck, Walldorf;04.03.2019 12:00;99.87
0707/307-1;GWM M Geissheck, Walldorf;11.03.2019 12:00;99.87
0707/307-1;GWM M Geissheck, Walldorf;18.03.2019 12:00;99.85
0707/307-1;GWM M Geissheck, Walldorf;25.03.2019 12:00;99.84
0707/307-1;GWM M Geissheck, Walldorf;01.04.2019 12:00;99.84
0707/307-1;GWM M Geissheck, Walldorf;08.04.2019 12:00;99.77
0707/307-1;GWM M Geissheck, Walldorf;15.04.2019 12:00;99.85
0707/307-1;GWM M Geissheck, Walldorf;22.04.2019 12:00;99.83
0707/307-1;GWM M Geissheck, Walldorf;29.04.2019 12:00;99.81
0707/307-1;GWM M Geissheck, Walldorf;06.05.2019 12:00;99.82
0707/307-1;GWM M Geissheck, Walldorf;13.05.2019 12:00;99.73
0707/307-1;GWM M Geissheck, Walldorf;20.05.2019 12:00;99.76
0707/307-1;GWM M Geissheck, Walldorf;27.05.2019 12:00;99.78
0707/307-1;GWM M Geissheck, Walldorf;03.06.2019 12:00;99.7
0707/307-1;GWM M Geissheck, Walldorf;10.06.2019 12:00;99.82
0707/307-1;GWM M Geissheck, Walldorf;17.06.2019 12:00;99.74
0707/307-1;GWM M Geissheck, Walldorf;24.06.2019 12:00;99.68
0707/307-1;GWM M Geissheck, Walldorf;01.07.2019 12:00;99.74
0707/307-1;GWM M Geissheck, Walldorf;08.07.2019 12:00;99.71
0707/307-1;GWM M Geissheck, Walldorf;15.07.2019 12:00;99.74
0707/307-1;GWM M Geissheck, Walldorf;22.07.2019 12:00;99.62
0707/307-1;GWM M Geissheck, Walldorf;29.07.2019 12:00;99.73
0707/307-1;GWM M Geissheck, Walldorf;05.08.2019 12:00;99.7
0707/307-1;GWM M Geissheck, Walldorf;12.08.2019 12:00;99.69
0707/307-1;GWM M Geissheck, Walldorf;19.08.2019 12:00;99.62
0707/307-1;GWM M Geissheck, Walldorf;26.08.2019 12:00;99.58
0707/307-1;GWM M Geissheck, Walldorf;02.09.2019 12:00;99.55
0707/307-1;GWM M Geissheck, Walldorf;10.09.2019 12:00;99.63
0707/307-1;GWM M Geissheck, Walldorf;16.09.2019 12:00;99.59
0707/307-1;GWM M Geissheck, Walldorf;23.09.2019 12:00;99.63
0707/307-1;GWM M Geissheck, Walldorf;30.09.2019 12:00;99.57
0707/307-1;GWM M Geissheck, Walldorf;07.10.2019 12:00;99.63
0707/307-1;GWM M Geissheck, Walldorf;14.10.2019 12:00;99.54
0707/307-1;GWM M Geissheck, Walldorf;21.10.2019 12:00;99.53
0707/307-1;GWM M Geissheck, Walldorf;28.10.2019 12:00;99.67
0707/307-1;GWM M Geissheck, Walldorf;04.11.2019 12:00;99.6
0707/307-1;GWM M Geissheck, Walldorf;11.11.2019 12:00;99.65
0707/307-1;GWM M Geissheck, Walldorf;18.11.2019 12:00;99.61
0707/307-1;GWM M Geissheck, Walldorf;25.11.2019 12:00;99.64
0707/307-1;GWM M Geissheck, Walldorf;02.12.2019 12:00;99.63
0707/307-1;GWM M Geissheck, Walldorf;09.12.2019 12:00;99.58
0707/307-1;GWM M Geissheck, Walldorf;16.12.2019 12:00;99.62
0707/307-1;GWM M Geissheck, Walldorf;23.12.2019 12:00;99.65
0707/307-1;GWM M Geissheck, Walldorf;30.12.2019 12:00;99.68
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;07.01.2019 12:00;111.52
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;14.01.2019 12:00;111.53
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;21.01.2019 12:00;111.55
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;28.01.2019 12:00;111.56
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;04.02.2019 12:00;111.53
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;11.02.2019 12:00;111.52
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;18.02.2019 12:00;111.52
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;25.02.2019 12:00;111.51
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;04.03.2019 12:00;111.51
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;11.03.2019 12:00;111.51
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;18.03.2019 12:00;111.6
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;25.03.2019 12:00;111.66
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;01.04.2019 12:00;111.67
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;08.04.2019 12:00;111.66
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;15.04.2019 12:00;111.63
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;22.04.2019 12:00;111.61
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;29.04.2019 12:00;111.59
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;06.05.2019 12:00;111.58
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;13.05.2019 12:00;111.57
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;20.05.2019 12:00;111.56
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;27.05.2019 12:00;111.65
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;03.06.2019 12:00;111.65
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;10.06.2019 12:00;111.63
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;17.06.2019 12:00;111.63
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;24.06.2019 12:00;111.61
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;01.07.2019 12:00;111.57
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;08.07.2019 12:00;111.55
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;15.07.2019 12:00;111.53
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;22.07.2019 12:00;111.51
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;29.07.2019 12:00;111.51
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;05.08.2019 12:00;111.48
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;12.08.2019 12:00;111.49
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;19.08.2019 12:00;111.47
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;26.08.2019 12:00;111.46
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;02.09.2019 12:00;111.43
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;09.09.2019 12:00;111.45
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;16.09.2019 12:00;111.42
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;23.09.2019 12:00;111.41
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;30.09.2019 12:00;111.41
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;07.10.2019 12:00;111.43
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;14.10.2019 12:00;111.44
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;21.10.2019 12:00;111.45
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;28.10.2019 12:00;111.44
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;04.11.2019 12:00;111.45
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;11.11.2019 12:00;111.46
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;18.11.2019 12:00;111.45
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;25.11.2019 12:00;111.43
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;02.12.2019 12:00;111.42
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;09.12.2019 12:00;111.42
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;16.12.2019 12:00;111.47
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;23.12.2019 12:00;111.54
0174/260-5;GWM M Gewann Birkheck Scheibenhardt, Ettlingen;30.12.2019 12:00;111.58
0150/307-6;GWM PP 11, Kirrlach;07.01.2019 12:00;101.99
0150/307-6;GWM PP 11, Kirrlach;14.01.2019 12:00;102.03
0150/307-6;GWM PP 11, Kirrlach;21.01.2019 12:00;102.02
0150/307-6;GWM PP 11, Kirrlach;28.01.2019 12:00;102.07
0150/307-6;GWM PP 11, Kirrlach;04.02.2019 12:00;102.01
0150/307-6;GWM PP 11, Kirrlach;11.02.2019 12:00;102.04
0150/307-6;GWM PP 11, Kirrlach;18.02.2019 12:00;102.05
0150/307-6;GWM PP 11, Kirrlach;25.02.2019 12:00;102.02
0150/307-6;GWM PP 11, Kirrlach;04.03.2019 12:00;102.07
0150/307-6;GWM PP 11, Kirrlach;11.03.2019 12:00;102
0150/307-6;GWM PP 11, Kirrlach;18.03.2019 12:00;102.02
0150/307-6;GWM PP 11, Kirrlach;25.03.2019 12:00;102.05
0150/307-6;GWM PP 11, Kirrlach;01.04.2019 12:00;102.05
0150/307-6;GWM PP 11, Kirrlach;08.04.2019 12:00;102.05
0150/307-6;GWM PP 11, Kirrlach;15.04.2019 12:00;102.05
0150/307-6;GWM PP 11, Kirrlach;22.04.2019 12:00;102.07
0150/307-6;GWM PP 11, Kirrlach;29.04.2019 12:00;102.03
0150/307-6;GWM PP 11, Kirrlach;06.05.2019 12:00;102.02
0150/307-6;GWM PP 11, Kirrlach;13.05.2019 12:00;102
0150/307-6;GWM PP 11, Kirrlach;20.05.2019 12:00;102.04
0150/307-6;GWM PP 11, Kirrlach;27.05.2019 12:00;102.06
0150/307-6;GWM PP 11, Kirrlach;03.06.2019 12:00;102.04
0150/307-6;GWM PP 11, Kirrlach;10.06.2019 12:00;102.03
0150/307-6;GWM PP 11, Kirrlach;17.06.2019 12:00;102.02
0150/307-6;GWM PP 11, Kirrlach;24.06.2019 12:00;102.02
0150/307-6;GWM PP 11, Kirrlach;01.07.2019 12:00;101.99
0150/307-6;GWM PP 11, Kirrlach;08.07.2019 12:00;101.97
0150/307-6;GWM PP 11, Kirrlach;15.07.2019 12:00;101.97
0150/307-6;GWM PP 11, Kirrlach;22.07.2019 12:00;101.95
0150/307-6;GWM PP 11, Kirrlach;29.07.2019 12:00;101.95
0150/307-6;GWM PP 11, Kirrlach;05.08.2019 12:00;101.94
0150/307-6;GWM PP 11, Kirrlach;12.08.2019 12:00;101.94
0150/307-6;GWM PP 11, Kirrlach;19.08.2019 12:00;101.92
0150/307-6;GWM PP 11, Kirrlach;26.08.2019 12:00;101.92
0150/307-6;GWM PP 11, Kirrlach;02.09.2019 12:00;101.88
0150/307-6;GWM PP 11, Kirrlach;09.09.2019 12:00;101.87
0150/307-6;GWM PP 11, Kirrlach;16.09.2019 12:00;101.87
0150/307-6;GWM PP 11, Kirrlach;23.09.2019 12:00;101.87
0150/307-6;GWM PP 11, Kirrlach;30.09.2019 12:00;101.86
0150/307-6;GWM PP 11, Kirrlach;07.10.2019 12:00;101.87
0150/307-6;GWM PP 11, Kirrlach;14.10.2019 12:00;101.89
0150/307-6;GWM PP 11, Kirrlach;21.10.2019 12:00;101.88
0150/307-6;GWM PP 11, Kirrlach;28.10.2019 12:00;101.89
0150/307-6;GWM PP 11, Kirrlach;04.11.2019 12:00;101.93
0150/307-6;GWM PP 11, Kirrlach;11.11.2019 12:00;101.91
0150/307-6;GWM PP 11, Kirrlach;18.11.2019 12:00;101.91
0150/307-6;GWM PP 11, Kirrlach;25.11.2019 12:00;101.9
0150/307-6;GWM PP 11, Kirrlach;02.12.2019 12:00;101.88
0150/307-6;GWM PP 11, Kirrlach;09.12.2019 12:00;101.92
0150/307-6;GWM PP 11, Kirrlach;16.12.2019 12:00;101.91
0150/307-6;GWM PP 11, Kirrlach;23.12.2019 12:00;101.9
0150/307-6;GWM PP 11, Kirrlach;30.12.2019 12:00;101.92
0161/308-8;GWM T B10a/b Volksschule, Neuthard;07.01.2019 12:00;107.04
0161/308-8;GWM T B10a/b Volksschule, Neuthard;14.01.2019 12:00;107.06
0161/308-8;GWM T B10a/b Volksschule, Neuthard;21.01.2019 12:00;107.12
0161/308-8;GWM T B10a/b Volksschule, Neuthard;28.01.2019 12:00;107.14
0161/308-8;GWM T B10a/b Volksschule, Neuthard;04.02.2019 12:00;107.13
0161/308-8;GWM T B10a/b Volksschule, Neuthard;11.02.2019 12:00;107.11
0161/308-8;GWM T B10a/b Volksschule, Neuthard;18.02.2019 12:00;107.1
0161/308-8;GWM T B10a/b Volksschule, Neuthard;25.02.2019 12:00;107.08
0161/308-8;GWM T B10a/b Volksschule, Neuthard;04.03.2019 12:00;107.07
0161/308-8;GWM T B10a/b Volksschule, Neuthard;11.03.2019 12:00;107.05
0161/308-8;GWM T B10a/b Volksschule, Neuthard;18.03.2019 12:00;107.09
0161/308-8;GWM T B10a/b Volksschule, Neuthard;25.03.2019 12:00;107.1
0161/308-8;GWM T B10a/b Volksschule, Neuthard;01.04.2019 12:00;107.1
0161/308-8;GWM T B10a/b Volksschule, Neuthard;08.04.2019 12:00;107.09
0161/308-8;GWM T B10a/b Volksschule, Neuthard;15.04.2019 12:00;107.07
0161/308-8;GWM T B10a/b Volksschule, Neuthard;22.04.2019 12:00;107.04
0161/308-8;GWM T B10a/b Volksschule, Neuthard;29.04.2019 12:00;107.03
0161/308-8;GWM T B10a/b Volksschule, Neuthard;06.05.2019 12:00;107.03
0161/308-8;GWM T B10a/b Volksschule, Neuthard;13.05.2019 12:00;107.03
0161/308-8;GWM T B10a/b Volksschule, Neuthard;20.05.2019 12:00;107.02
0161/308-8;GWM T B10a/b Volksschule, Neuthard;27.05.2019 12:00;107.06
0161/308-8;GWM T B10a/b Volksschule, Neuthard;03.06.2019 12:00;107.03
0161/308-8;GWM T B10a/b Volksschule, Neuthard;10.06.2019 12:00;107
0161/308-8;GWM T B10a/b Volksschule, Neuthard;17.06.2019 12:00;107.02
0161/308-8;GWM T B10a/b Volksschule, Neuthard;24.06.2019 12:00;107.01
0161/308-8;GWM T B10a/b Volksschule, Neuthard;01.07.2019 12:00;106.97
0161/308-8;GWM T B10a/b Volksschule, Neuthard;08.07.2019 12:00;106.95
0161/308-8;GWM T B10a/b Volksschule, Neuthard;15.07.2019 12:00;106.97
0161/308-8;GWM T B10a/b Volksschule, Neuthard;22.07.2019 12:00;106.94
0161/308-8;GWM T B10a/b Volksschule, Neuthard;29.07.2019 12:00;106.96
0161/308-8;GWM T B10a/b Volksschule, Neuthard;05.08.2019 12:00;106.94
0161/308-8;GWM T B10a/b Volksschule, Neuthard;12.08.2019 12:00;106.96
0161/308-8;GWM T B10a/b Volksschule, Neuthard;19.08.2019 12:00;106.93
0161/308-8;GWM T B10a/b Volksschule, Neuthard;26.08.2019 12:00;106.9
0161/308-8;GWM T B10a/b Volksschule, Neuthard;02.09.2019 12:00;106.88
0161/308-8;GWM T B10a/b Volksschule, Neuthard;09.09.2019 12:00;106.87
0161/308-8;GWM T B10a/b Volksschule, Neuthard;16.09.2019 12:00;106.85
0161/308-8;GWM T B10a/b Volksschule, Neuthard;23.09.2019 12:00;106.83
0161/308-8;GWM T B10a/b Volksschule, Neuthard;30.09.2019 12:00;106.83
0161/308-8;GWM T B10a/b Volksschule, Neuthard;07.10.2019 12:00;106.86
0161/308-8;GWM T B10a/b Volksschule, Neuthard;14.10.2019 12:00;106.9
0161/308-8;GWM T B10a/b Volksschule, Neuthard;21.10.2019 12:00;106.91
0161/308-8;GWM T B10a/b Volksschule, Neuthard;28.10.2019 12:00;106.9
0161/308-8;GWM T B10a/b Volksschule, Neuthard;04.11.2019 12:00;106.89
0161/308-8;GWM T B10a/b Volksschule, Neuthard;11.11.2019 12:00;106.92
0161/308-8;GWM T B10a/b Volksschule, Neuthard;18.11.2019 12:00;106.92
0161/308-8;GWM T B10a/b Volksschule, Neuthard;25.11.2019 12:00;106.91
0161/308-8;GWM T B10a/b Volksschule, Neuthard;02.12.2019 12:00;106.89
0161/308-8;GWM T B10a/b Volksschule, Neuthard;09.12.2019 12:00;106.88
0161/308-8;GWM T B10a/b Volksschule, Neuthard;16.12.2019 12:00;106.89
0161/308-8;GWM T B10a/b Volksschule, Neuthard;23.12.2019 12:00;106.92
0161/308-8;GWM T B10a/b Volksschule, Neuthard;30.12.2019 12:00;106.94
0222/258-7;GWM T B13a/b, Graben-Neudorf;07.01.2019 12:00;103.17
0222/258-7;GWM T B13a/b, Graben-Neudorf;14.01.2019 12:00;103.18
0222/258-7;GWM T B13a/b, Graben-Neudorf;21.01.2019 12:00;103.18
0222/258-7;GWM T B13a/b, Graben-Neudorf;28.01.2019 12:00;103.19
0222/258-7;GWM T B13a/b, Graben-Neudorf;04.02.2019 12:00;103.2
0222/258-7;GWM T B13a/b, Graben-Neudorf;11.02.2019 12:00;103.22
0222/258-7;GWM T B13a/b, Graben-Neudorf;18.02.2019 12:00;103.23
0222/258-7;GWM T B13a/b, Graben-Neudorf;25.02.2019 12:00;103.24
0222/258-7;GWM T B13a/b, Graben-Neudorf;04.03.2019 12:00;103.25
0222/258-7;GWM T B13a/b, Graben-Neudorf;11.03.2019 12:00;103.25
0222/258-7;GWM T B13a/b, Graben-Neudorf;18.03.2019 12:00;103.25
0222/258-7;GWM T B13a/b, Graben-Neudorf;25.03.2019 12:00;103.25
0222/258-7;GWM T B13a/b, Graben-Neudorf;01.04.2019 12:00;103.25
0222/258-7;GWM T B13a/b, Graben-Neudorf;08.04.2019 12:00;103.25
0222/258-7;GWM T B13a/b, Graben-Neudorf;15.04.2019 12:00;103.25
0222/258-7;GWM T B13a/b, Graben-Neudorf;22.04.2019 12:00;103.25
0222/258-7;GWM T B13a/b, Graben-Neudorf;29.04.2019 12:00;103.24
0222/258-7;GWM T B13a/b, Graben-Neudorf;06.05.2019 12:00;103.24
0222/258-7;GWM T B13a/b, Graben-Neudorf;13.05.2019 12:00;103.24
0222/258-7;GWM T B13a/b, Graben-Neudorf;20.05.2019 12:00;103.24
0222/258-7;GWM T B13a/b, Graben-Neudorf;27.05.2019 12:00;103.26
0222/258-7;GWM T B13a/b, Graben-Neudorf;03.06.2019 12:00;103.26
0222/258-7;GWM T B13a/b, Graben-Neudorf;10.06.2019 12:00;103.25
0222/258-7;GWM T B13a/b, Graben-Neudorf;17.06.2019 12:00;103.24
0222/258-7;GWM T B13a/b, Graben-Neudorf;24.06.2019 12:00;103.23
0222/258-7;GWM T B13a/b, Graben-Neudorf;01.07.2019 12:00;103.2
0222/258-7;GWM T B13a/b, Graben-Neudorf;08.07.2019 12:00;103.18
0222/258-7;GWM T B13a/b, Graben-Neudorf;15.07.2019 12:00;103.17
0222/258-7;GWM T B13a/b, Graben-Neudorf;22.07.2019 12:00;103.16
0222/258-7;GWM T B13a/b, Graben-Neudorf;29.07.2019 12:00;103.15
0222/258-7;GWM T B13a/b, Graben-Neudorf;05.08.2019 12:00;103.14
0222/258-7;GWM T B13a/b, Graben-Neudorf;12.08.2019 12:00;103.13
0222/258-7;GWM T B13a/b, Graben-Neudorf;19.08.2019 12:00;103.13
0222/258-7;GWM T B13a/b, Graben-Neudorf;26.08.2019 12:00;103.12
0222/258-7;GWM T B13a/b, Graben-Neudorf;02.09.2019 12:00;103.11
0222/258-7;GWM T B13a/b, Graben-Neudorf;09.09.2019 12:00;103.1
0222/258-7;GWM T B13a/b, Graben-Neudorf;16.09.2019 12:00;103.09
0222/258-7;GWM T B13a/b, Graben-Neudorf;23.09.2019 12:00;103.08
0222/258-7;GWM T B13a/b, Graben-Neudorf;30.09.2019 12:00;103.08
0222/258-7;GWM T B13a/b, Graben-Neudorf;07.10.2019 12:00;103.07
0222/258-7;GWM T B13a/b, Graben-Neudorf;14.10.2019 12:00;103.08
0222/258-7;GWM T B13a/b, Graben-Neudorf;21.10.2019 12:00;103.09
0222/258-7;GWM T B13a/b, Graben-Neudorf;28.10.2019 12:00;103.1
0222/258-7;GWM T B13a/b, Graben-Neudorf;04.11.2019 12:00;103.1
0222/258-7;GWM T B13a/b, Graben-Neudorf;11.11.2019 12:00;103.1
0222/258-7;GWM T B13a/b, Graben-Neudorf;18.11.2019 12:00;103.11
0222/258-7;GWM T B13a/b, Graben-Neudorf;25.11.2019 12:00;103.11
0222/258-7;GWM T B13a/b, Graben-Neudorf;02.12.2019 12:00;103.11
0222/258-7;GWM T B13a/b, Graben-Neudorf;09.12.2019 12:00;103.12
0222/258-7;GWM T B13a/b, Graben-Neudorf;16.12.2019 12:00;103.12
0222/258-7;GWM T B13a/b, Graben-Neudorf;23.12.2019 12:00;103.13
0222/258-7;GWM T B13a/b, Graben-Neudorf;30.12.2019 12:00;103.13
0132/257-4;GWM T B40, Rheinsheim;07.01.2019 12:00;95.13
0132/257-4;GWM T B40, Rheinsheim;14.01.2019 12:00;95.2
0132/257-4;GWM T B40, Rheinsheim;21.01.2019 12:00;95.24
0132/257-4;GWM T B40, Rheinsheim;28.01.2019 12:00;95.26
0132/257-4;GWM T B40, Rheinsheim;04.02.2019 12:00;95.25
0132/257-4;GWM T B40, Rheinsheim;11.02.2019 12:00;95.28
0132/257-4;GWM T B40, Rheinsheim;18.02.2019 12:00;95.3
0132/257-4;GWM T B40, Rheinsheim;25.02.2019 12:00;95.3
0132/257-4;GWM T B40, Rheinsheim;04.03.2019 12:00;95.31
0132/257-4;GWM T B40, Rheinsheim;11.03.2019 12:00;95.33
0132/257-4;GWM T B40, Rheinsheim;18.03.2019 12:00;95.5
0132/257-4;GWM T B40, Rheinsheim;25.03.2019 12:00;95.52
0132/257-4;GWM T B40, Rheinsheim;01.04.2019 12:00;95.52
0132/257-4;GWM T B40, Rheinsheim;08.04.2019 12:00;95.51
0132/257-4;GWM T B40, Rheinsheim;15.04.2019 12:00;95.38
0132/257-4;GWM T B40, Rheinsheim;22.04.2019 12:00;95.31
0132/257-4;GWM T B40, Rheinsheim;29.04.2019 12:00;95.36
0132/257-4;GWM T B40, Rheinsheim;06.05.2019 12:00;95.39
0132/257-4;GWM T B40, Rheinsheim;13.05.2019 12:00;95.43
